UWI,Nombre del Pozo,"Profundidad Total 
(ft)",Departamento,Cuenca,Lat,Lon,"Coordenada
X","Coordenada 
 Y","Elevación GL
(ft)","Elevacion 
(m)","Temperatura en superficie 
(°C)","BHT
(°F)","BHT
(°C)","Profundidad BHT
(ft)","Profundidad BHT 
(m)",Temperatura de formación (°C),Gradiente Geotérmico Aparente (°C/Km),Año de actualizacion del dato,Distance_To_Nearest_Volcano (m),Nearby Volcanos
RZUL0034,RIO ZULIA-34,6499.5,Norte de Santander,Catatumbo,8.219142,-72.446903,1180072.297654,1400712.471481,391.0,119.1768,27.604115999999998,137.0,58.333333333333336,4609.0,1404.8232,62.43773615885696,24.795732415906116,2008.0,398261.79157396714,0
RZUL0035,RIO ZULIA-35,7362,Norte de Santander,Catatumbo,8.202342,-72.461414,1178480.231734,1398847.209944,293.0,89.30640000000001,27.753467999999998,183.0,83.88888888888889,7784.0,2372.5632,91.90318642444319,27.038149468238903,2008.0,395809.49632747134,0
RZUL0004,RIO ZULIA-4,6877,Norte de Santander,Catatumbo,8.233086,-72.441967,1180610.09454,1402257.530307,426.0,129.84480000000002,27.550776,176.0,80.0,6700.0,2042.16,86.64407323822297,28.936663747318022,2008.0,399751.3812680049,0
RZUL0005,RIO ZULIA-5,6010,Norte de Santander,Catatumbo,8.193133,-72.454661,1179228.753311,1397831.390538,350.0,106.68,27.6666,156.0,68.88888888888889,5990.0,1825.7520000000002,74.64640038231282,25.73175348147657,2008.0,395598.29083150375,0
RZUL0007,RIO ZULIA-7,6681,Norte de Santander,Catatumbo,8.1841,-72.462294,1178391.297499,1396828.542825,430.0,131.064,27.54468,162.0,72.22222222222223,6592.0,2009.2416,78.73046524744204,25.475176926180527,2008.0,394293.08275324147,0
RZUL0008,RIO ZULIA-8,6812,Norte de Santander,Catatumbo,8.193336,-72.453886,1179314.096974,1397854.17433,407.0,124.0536,27.579732,162.0,72.22222222222223,6827.0,2080.8696,79.02633770690113,24.72360868115,2008.0,395674.18560838595,0
RZUL0009,RIO ZULIA-9,6248.5,Norte de Santander,Catatumbo,8.199075,-72.446942,1180077.052897,1398492.240965,441.0,134.4168,27.527915999999998,156.0,68.88888888888889,6347.0,1934.5656000000001,75.09013345051993,24.585476682992773,2008.0,396665.05484289146,0
RIOH0001,RIOHACHA-1,6317,Guajira,Guajira,11.582489,-72.844469,1134871.163652,1772653.175147,4.0,1.2192,28.193904,140.0,60.0,6317.0,1925.4216000000001,66.16377762709105,19.720290676645075,2008.0,699530.3458270609,0
RIOH0002,RIOHACHA-2,6350,Guajira,Guajira,11.572242,-72.849228,1134356.937541,1771517.137984,2.0,0.6096,28.196952,150.0,65.55555555555556,6350.0,1935.48,71.7605484307536,22.507903171695705,2008.0,698283.0821641167,0
RIOM0001,RIOMAR-1,2488,Magdalena,Valle Inferior del Magdalena,10.280947,-74.061931,1002079.926636,1628390.155536,400.0,121.92,27.5904,105.0,40.55555555555556,2510.0,765.048,42.459859434620654,19.435982362702283,2008.0,524450.7414749719,0
RIOM0001A,RIOMAR-1A,13932,Magdalena,Valle Inferior del Magdalena,10.280947,-74.061839,1002089.97221,1628390.156132,400.0,121.92,27.5904,198.0,92.22222222222223,13999.999999999998,4267.2,106.14053887425561,18.407887812677075,2008.0,524452.6510564865,0
RODE0001,RODEO-1,8619.5,Norte de Santander,Catatumbo,8.119769,-72.379958,1187498.192588,1389748.125235,527.0,160.6296,27.396852,155.0,68.33333333333334,8620.0,2627.376,77.39421519692455,19.029390234562754,2008.0,395715.33086112136,0
ROND0001,RONDON-1,8134,Casanare,Llanos Orientales,5.456917,-71.245347,1314372.442729,1095606.951115,447.0,136.2456,27.518772,196.0,91.11111111111111,8135.0,2479.5480000000002,99.5673604198995,29.057146068517124,2009.0,411671.60532282846,0
ROND0001N,RONDON-1N,11805,Arauca,Llanos Orientales,6.739972,-71.323419,1304983.29897,1237619.203721,509.0,155.1432,27.424284,220.0,104.44444444444444,11805.0,3598.164,116.98618693536467,24.891000781333112,2009.0,419910.8787376619,0
ROSA0001,ROSA-1,12501,Santander,Valle Medio del Magdalena,7.386706,-73.451072,1069540.091159,1308330.309511,413.0,125.8824,27.570588,184.0,84.44444444444444,12402.0,3780.1296,97.4728935143122,18.492039403705153,2008.0,255192.41860716118,0
ROSI0001,ROSITA-1,11088,Tolima,Valle Superior del Magdalena,4.035354,-75.027738,894850.981707,937726.909422,,340.0,26.5,204.0,95.55555555555556,11083.0,3378.0984000000003,107.42045035439513,23.954438495455054,2008.0,43659.27493616069,0
RUBI0001,RUBIALES-1,3100,Meta,Llanos Orientales,3.768339,-71.519681,1284609.041726,908557.400784,186.0,186.0,27.27,144.0,62.22222222222223,3100.0,944.88,64.69709654534165,39.61042306466605,2009.0,411652.1595939928,0
RUBI0010,RUBIALES-10C,2868,Meta,Llanos Orientales,3.77,-71.4484,1292535.425,908764.5988,615.0,187.452,27.26274,146.0,63.333333333333336,2868.0,874.1664000000001,65.57890113621768,43.83165623411936,2009.0,419413.5466129621,0
RUBI0011,RUBIALES-11,2984,Meta,Llanos Orientales,3.798306,-71.485006,1288454.880068,911885.938153,,188.0,27.259999999999998,137.0,58.333333333333336,2976.0,907.0848000000001,60.68486904695308,36.84867065014548,2009.0,414885.8350622502,0
RUBI0012,RUBIALES-12,2835,Meta,Llanos Orientales,3.7946,-71.4151,1296225.477,911503.3741,590.0,179.83200000000002,27.30084,149.0,65.0,2835.0,864.1080000000001,67.21346299625172,46.1893918309421,2009.0,422606.1388895739,0
RUBI0013,RUBIALES-13,2840,Meta,Llanos Orientales,3.7954,-71.4323,1294320.608,911577.4704,614.0,187.1472,27.264264,143.0,61.66666666666667,2840.0,865.6320000000001,63.88498571580668,42.305184784997174,2009.0,420708.4536891594,0
RUBI0014,RUBIALES-14,3019,Meta,Llanos Orientales,3.836108,-71.501961,1286556.947425,916064.739365,185.0,185.0,27.275,142.0,61.111111111111114,3019.0,920.1912000000001,63.50521674057235,39.37248774012656,2009.0,412362.1227045392,0
RUBI0015,RUBIALES-15,2775,Meta,Llanos Orientales,3.782292,-71.413892,1296368.006732,910137.330559,191.0,191.0,27.244999999999997,143.0,61.66666666666667,2775.0,845.82,63.82208968840881,43.244531565118834,2009.0,422961.12037210265,0
RUBI0016,RUBIALES-16,2825,Meta,Llanos Orientales,3.8114,-71.4406,1293390.238,913347.6426,,172.21,27.33895,131.0,55.0,2825.0,861.0600000000001,57.20375981586147,34.68377327463994,2009.0,419515.08944371383,0
RUBI0017,RUBIALES-17,2734,Meta,Llanos Orientales,3.7778,-71.3917,1298831.96,909652.7476,,191.2,27.244,132.0,55.55555555555556,2732.0,832.7136,57.669648946238645,36.53795127909361,2009.0,425472.0045385609,0
RUBI0018,RUBIALES-18,2706,Meta,Llanos Orientales,3.798792,-71.450379,1292305.091051,911951.378413,620.0,188.976,27.255119999999998,128.0,53.333333333333336,2681.0,817.1688,55.39869768368796,34.440347800464195,2009.0,418667.98549660825,0
RUBI0019,RUBIALES-19,2594,Meta,Llanos Orientales,3.812509,-71.419314,1295754.821222,913480.421532,524.0,159.7152,27.401424,132.0,55.55555555555556,2564.0,781.5072,57.51033051975954,38.52671673371601,2009.0,421827.92758733797,0
RUBI0002,RUBIALES-2,3010,Meta,Llanos Orientales,3.8009,-71.5099,1285688.698,912166.6993,606.0,184.7088,27.276456,128.0,53.333333333333336,3010.0,917.4480000000001,55.71851125705764,31.001272286884532,2009.0,412113.8080860959,0
RUBI0021,RUBIALES-21,2920,Meta,Llanos Orientales,3.8087,-71.4503,1292316.051,913043.4348,600.0,182.88,27.2856,130.0,54.44444444444445,2920.0,890.0160000000001,56.7408629556793,33.09520610379959,2009.0,418500.0516679952,0
RUBI0022,RUBIALES-22,2911,Meta,Llanos Orientales,3.7947,-71.4595,1291297.3,911496.4509,605.0,184.404,27.27798,122.0,50.0,2886.0,879.6528000000001,52.26313388604637,28.40342676797751,2009.0,417743.2557745665,0
RUBI0023,RUBIALES-23,2898,Meta,Llanos Orientales,3.81,-71.4466,1292719.336,913195.1717,584.0,178.00320000000002,27.309984,134.0,56.66666666666667,2898.0,883.3104000000001,58.94153252607298,35.81022993284465,2009.0,418882.40883514984,0
RUBI0024,RUBIALES-24,2801,Meta,Llanos Orientales,3.8131,-71.4438,1293035.8041,913536.8141,530.0,161.544,27.77777777777778,132.0,55.55555555555556,2801.0,853.7448,57.7360763906393,35.09046100528111,2009.0,419134.67784369306,0
RUBI0025,RUBIALES-25,2731,Meta,Llanos Orientales,3.7993,-71.4559,1291691.906,912010.7516,629.0,191.7192,27.241404,122.0,50.0,2714.0,827.2272,52.09685888565355,30.04670891582573,2009.0,418054.35076963535,0
RUBI0026,RUBIALES-26,3078,Meta,Llanos Orientales,3.808837,-71.514183,1285207.029621,913041.970944,610.0,185.928,27.27036,138.0,58.88888888888889,3078.0,938.1744,61.34175165477804,36.31669298882813,2009.0,411501.47762737167,0
RUBI0027,RUBIALES-27,2976,Meta,Llanos Orientales,3.790557,-71.468024,1290345.782915,911033.917399,664.0,202.3872,27.188064,135.0,57.22222222222222,2976.0,907.0848000000001,59.57375793584197,35.703049963842375,2009.0,416885.6846842249,0
RUBI0028,RUBIALES-28,3060,Meta,Llanos Orientales,3.8184,-71.4974,1287072.163,914105.8412,634.0,193.2432,27.233784,137.0,58.333333333333336,3060.0,932.6880000000001,60.768227807457606,35.95462127470022,2009.0,413169.422107917,0
RUBI0029,RUBIALES-29,2924,Meta,Llanos Orientales,3.814833,-71.461435,1291070.265808,913723.39304,557.0,169.77360000000002,27.351132,130.0,54.44444444444445,2924.0,891.2352000000001,56.7447877296582,32.98080655887267,2009.0,417172.1954510197,0
RUBI0003,RUBIALES-3,2925,Meta,Llanos Orientales,3.822178,-71.480756,1288919.48438,914529.870994,,161.0,27.395,128.0,53.333333333333336,2925.0,891.5400000000001,55.634658105369155,31.67514425081225,2009.0,414926.78611959965,0
RUBI0030,RUBIALES-30,2850,Meta,Llanos Orientales,3.794955,-71.403625,1297505.459435,911542.618593,631.0,192.3288,27.238356,136.0,57.77777777777778,2850.0,868.6800000000001,60.0058178464994,37.72098108221601,2009.0,423856.3573871702,0
RUBI0031,RUBIALES-31,3120,Meta,Llanos Orientales,3.852086,-71.561969,1279879.755114,917813.461165,682.0,207.8736,27.160632,134.0,56.66666666666667,3120.0,950.976,59.16159935817822,33.65065717555251,2009.0,405511.1019431446,0
RUBI0033,RUBIALES-33,2883,Meta,Llanos Orientales,3.786218,-71.432773,1294267.123413,910565.50338,601.0,183.1848,27.284076,139.0,59.44444444444445,2880.0,877.8240000000001,61.70171871514971,39.20790809450381,2009.0,420822.97983035544,0
RUBI0034,RUBIALES-34,2870,Meta,Llanos Orientales,3.764004,-71.433782,1294162.35169,908106.099599,628.0,191.4144,27.242928,135.0,57.22222222222222,2870.0,874.7760000000001,59.46973992033488,36.84007325342131,2009.0,421124.9677970095,0
RUBI0036,RUBIALES-36,2900,Meta,Llanos Orientales,3.824064,-71.447649,1292600.086403,914749.882888,540.0,164.592,27.37704,135.0,57.22222222222222,2900.0,883.9200000000001,59.499045060603606,36.340398520910945,2009.0,418522.3813365289,0
RUBI0037,RUBIALES-37,2900,Meta,Llanos Orientales,3.79237,-71.445862,1292809.505013,911242.044521,599.0,182.5752,27.287124,133.0,56.111111111111114,2900.0,883.9200000000001,58.3879339494925,35.185095879143475,2009.0,419278.40354781813,0
RUBI0038,RUBIALES-38,2881,Meta,Llanos Orientales,3.797176,-71.424452,1295188.675104,911781.352107,613.0,186.8424,27.265788,136.0,57.77777777777778,2880.0,877.8240000000001,60.03505204848304,37.33010722933417,2009.0,421535.9377923093,0
RUBI0039,RUBIALES-39,2840,Meta,Llanos Orientales,3.798717,-71.451928,1292132.804228,911942.55181,620.0,188.976,27.255119999999998,132.0,55.55555555555556,2840.0,865.6320000000001,57.773874604695564,35.25603790605657,2009.0,418499.7297509064,0
RUBI0004,RUBIALES-4,3140,Meta,Llanos Orientales,3.801217,-71.541506,1282171.563072,912189.501324,,197.0,27.215,145.0,62.77777777777778,3140.0,957.072,65.29281425935491,39.78573634936025,2009.0,408648.8779257815,0
RUBI0040,RUBIALES-40,2783,Meta,Llanos Orientales,3.795433,-71.432184,1294329.489697,911585.777904,610.0,185.928,27.27036,136.0,57.77777777777778,2780.0,847.344,59.938021007868585,38.55300917675535,2009.0,420720.5613463371,0
RUBI0041,RUBIALES-41,2744,Meta,Llanos Orientales,3.782166,-71.413972,1296359.164657,910123.288638,620.0,188.976,27.255119999999998,136.0,57.77777777777778,2744.0,836.3712,59.90338260044199,39.035613134983585,2009.0,422954.66696843033,0
RUBI0005,RUBIALES-5,2875,Meta,Llanos Orientales,3.7988,-71.4519,1292141.489,911953.3491,612.0,186.5376,27.267312,132.0,55.55555555555556,2875.0,876.3000000000001,57.807950062081304,34.85180652982004,2009.0,418501.30375796196,0
RUBI0006,RUBIALES-6,2821,Meta,Llanos Orientales,3.790806,-71.375736,1300608.213637,911092.925361,,182.0,27.29,150.0,65.55555555555556,2821.0,859.8408000000001,67.75543743468667,47.06154608467831,2009.0,426984.60652171576,0
RUBI0007,RUBIALES-7,3072,Meta,Llanos Orientales,3.762506,-71.486472,1288303.641224,907922.618869,,191.0,27.244999999999997,141.0,60.55555555555556,3072.0,936.3456000000001,63.00242476793444,38.18827660207347,2009.0,415393.50843319,0
RUBI0008,RUBIALES-8,2863,Meta,Llanos Orientales,3.848283,-71.389461,1299061.999516,917451.081868,,174.0,27.33,142.0,61.111111111111114,2863.0,872.6424000000001,63.351806247571766,41.27900070816152,2009.0,424498.5966835499,0
RUBI0009,RUBIALES-9,2648,Meta,Llanos Orientales,3.7364,-71.3915,1298876.718,905061.5557,504.0,153.6192,27.431904,148.0,64.44444444444444,2648.0,807.1104,66.47844688335114,48.37819322282446,2009.0,426275.40360554814,0
SSSS0010A,S-10A (X-P-715) (STRAT-XP-10A),6089,Casanare,Llanos Orientales,5.4362,-70.8705,1355980.7613,1093522.5579,430.0,131.064,27.54468,130.0,54.44444444444445,5480.0,1670.304,59.577923950031696,19.178092101816013,2009.0,453228.4033077131,0
SSSS0011,S-11 (X-Q-859) (STRAT-XQ-11),5372,Meta,Llanos Orientales,4.502194,-71.613669,1273905.890854,989752.945617,514.0,156.6672,27.416664,140.0,60.0,5372.0,1637.3856,65.00313451248539,22.95517348661512,2009.0,391959.3122202818,0
SSSS0011A,S-11A (X-R-859) (STRAT-XR-11A),8544,Meta,Llanos Orientales,4.502122,-71.62425,1272730.575856,989740.987384,531.0,161.8488,27.390756,170.0,76.66666666666667,5546.0,1690.4208,81.88013557624265,32.234210308014816,2009.0,390853.9706351695,0
SSSS0002,S-2 (STRAT XA-2),7322,Tolima,Valle Superior del Magdalena,4.109522,-74.876572,911647.965406,945911.376339,1008.0,307.2384,26.663808,184.0,84.44444444444444,7322.0,2231.7456,91.874387499199,29.219539852212094,2008.0,46299.68059776767,0
SSSS0003,S-3 (STRAT XB-3),5986,Tolima,Valle Superior del Magdalena,4.100475,-75.029814,894628.917683,944929.357543,1275.0,388.62,26.256899999999998,125.0,51.66666666666667,5986.0,1824.5328000000002,57.419235024729716,17.07962445220481,2008.0,36958.057971754,0
SSSS0005,S-5 (STRAT XG-5),6107,Tolima,Valle Superior del Magdalena,4.123022,-75.014144,896372.018088,947420.93984,,377.0,26.314999999999998,120.0,48.88888888888889,1890.0,576.072,50.24045175747053,41.53205112810644,2008.0,35576.01885243696,0
SSSS0006,S-6 (STRAT XI-6),4932,Tolima,Valle Superior del Magdalena,4.164717,-74.997469,898229.142797,952030.010263,1208.0,368.1984,26.359008,140.0,60.0,4155.0,1266.444,63.591178625241405,29.39898694710655,2008.0,32758.436735238967,0
SSSS0009,S-9 (STRAT XM-9),4540,Casanare,Llanos Orientales,5.6033,-70.5408,1392478.1521,1112240.9004,385.0,117.348,27.61326,140.0,60.0,4539.0,1383.4872,64.02413052969547,26.31818388323034,2009.0,489056.3937963707,0
SASA0010,SA-10,2726,Meta,Llanos Orientales,3.068975,-72.839869,1137972.207245,830883.838056,807.0,245.9736,26.970132,142.0,61.111111111111114,2726.0,830.8848,63.21945531047118,43.62737567286245,2009.0,298510.3716892786,0
SASA0011,SA-11,2245,Meta,Llanos Orientales,2.948136,-72.931236,1127827.26523,817507.604963,763.0,232.56240000000003,27.037188,126.0,52.22222222222222,2245.0,684.2760000000001,53.884170299267154,39.23414280095627,2009.0,296842.1279899319,0
SASA0012,SA-12,4831,Meta,Llanos Orientales,3.310033,-73.633556,1049719.981778,857471.005257,1004.0,306.0192,26.669904,134.0,56.66666666666667,4831.0,1472.4888,61.02822006706363,23.333499084722156,2009.0,209700.46033979082,0
SASA0013,SA-13,5018,Meta,Llanos Orientales,2.991858,-73.681728,1044379.447329,822284.386133,881.0,268.5288,26.857356,150.0,65.55555555555556,5040.0,1536.192,70.16258661177044,28.1899857646508,2009.0,228033.58845872537,0
SASA0014,SA-14,4227,Meta,Llanos Orientales,3.407969,-73.055019,1114012.369961,868350.185077,792.0,241.4016,26.992992,172.0,77.77777777777779,4227.0,1288.3896,81.44914729678045,42.26683861526083,2009.0,259905.0062541772,0
SASA0015,SA-15,5828,Meta,Llanos Orientales,3.111303,-73.745303,1037307.349627,835490.368124,979.0,298.3992,26.708004,175.0,79.44444444444444,5828.0,1776.3744000000002,85.00233274101473,32.81646523447687,2009.0,213836.51529690667,0
SASA0017,SA-17,2859,Meta,Llanos Orientales,3.360639,-73.933553,1016377.149126,863056.961703,1531.0,466.64880000000005,25.866756,123.0,50.55555555555556,2859.0,871.4232000000001,52.79235469094357,30.89841846182609,2009.0,179867.17047067452,0
SASA0020,SA-20,6140,Meta,Llanos Orientales,3.302239,-73.887467,1021500.158511,856599.990034,1300.0,396.24,26.218799999999998,115.0,46.111111111111114,6140.0,1871.4720000000002,52.05447258555536,13.80500086859721,2009.0,187966.75995981612,0
SBAL0001,SABALO-1,3588,Antioquia,Valle Medio del Magdalena,7.024283,-74.114403,996300.023999,1268199.920772,246.0,74.9808,27.825096,110.0,43.333333333333336,3588.0,1093.6224,46.310259115575136,16.902692479209588,2008.0,179217.2629629938,0
SBAL0001K,SABALO-1K,10298,Antioquia,Valle Medio del Magdalena,7.158347,-73.961894,1013147.475259,1283027.948617,246.0,74.9808,27.825096,152.0,66.66666666666667,8156.0,2485.9488,75.14926355199036,19.03666219995776,2008.0,200826.5577795875,0
SABA0001,SABANA-1,15676,Santander,Valle Medio del Magdalena,7.368089,-73.430578,1071805.93713,1306274.53783,419.0,127.7112,27.561443999999998,152.0,66.66666666666667,8166.0,2488.9968000000003,75.16180556288754,19.124316095098045,2008.0,255124.53331003708,0
SABA0002,SABANA-2,7493,Santander,Valle Medio del Magdalena,7.385003,-73.464172,1068093.948132,1308139.956555,391.0,119.1768,27.604115999999998,147.0,63.88888888888889,7490.0,2282.952,71.53148369474124,19.241476691030403,2008.0,254105.74687556474,0
SALT0001,SALTO NUEVO-1,4934,Tolima,Valle Medio del Magdalena,4.683894,-74.856058,913991.917126,1009430.171714,1061.0,323.3928,26.583036,122.0,50.0,4934.0,1503.8832,54.48213520470006,18.551373673633737,2008.0,47659.88931986198,0
SALF0001,SAN ALFONSO-1,2041,Huila,Valle Superior del Magdalena,3.304694,-75.205553,874999.958396,856940.152543,,399.0,26.205,115.0,46.111111111111114,2043.0,622.7064,47.59440144834831,34.3490952531535,2008.0,100718.58288318492,0
SAND0001A,SAN ANDRES A-1,1984,Cordoba,Sinú-San Jacinto,9.173769,-75.462108,848180.098602,1506219.875188,328.0,99.9744,27.700128,123.0,50.55555555555556,1984.0,604.7232,51.98767840140454,40.16308684932964,2008.0,395822.58911906637,0
SANO0001,SAN ANTONIO-1_PUT,9596,Putumayo,Caguan-Putumayo,0.530992,-77.048911,669456.662107,550241.308687,1746.0,532.1808,25.539096,237.0,113.8888888888889,9595.0,2924.556,124.12757489123251,33.710579961960896,2008.0,58220.94171235306,0
SANO0002,SAN ANTONIO-2,9727,Putumayo,Caguan-Putumayo,0.532969,-77.040719,670369.8896,550459.794531,1746.0,532.1808,25.539096,195.0,90.55555555555556,9727.0,2964.7896,100.94827574166467,25.434917790343256,2008.0,58039.372903964395,0
SANO0003,SAN ANTONIO-3,9543,Putumayo,Caguan-Putumayo,0.541806,-77.038397,670629.216186,551438.049687,1787.0,544.6776,25.476612,192.0,88.88888888888889,9540.0,2907.7920000000004,99.06294722747664,25.30660213229716,2008.0,57071.61367100978,0
SANO0004,SAN ANTONIO-4,9536,Putumayo,Caguan-Putumayo,0.538544,-77.043147,670099.564116,551077.213828,1787.0,544.6776,25.476612,192.0,88.88888888888889,9535.0,2906.268,99.05705935801159,25.317846584696106,2008.0,57407.30632001487,0
SFAU0001,SAN FAUSTINO-1,8360,Norte de Santander,Catatumbo,8.0788,-72.4328,1181690.202426,1385191.136193,734.0,223.72320000000002,27.081384,214.0,101.11111111111111,8360.0,2548.128,109.84894115118226,32.48171094669587,2008.0,388364.4682443962,0
